product_name,quantity
"Dania Corner Shelving, Traditional",7
"Dania Classic Bookcase, Pine",6
"Jiffy Interoffice Envelope, Set of 50",6
"Fiskars Letter Opener, Easy Grip",8
"Jiffy Interoffice Envelope, Set of 50",6
"Hoover Stove, Black",8
"Advantus Staples, Metal",7
Global Deluxe High-Back Manager's Chair,9
"Panasonic Phone, Wireless",7
"Ikea Classic Bookcase, Pine",6
"Panasonic Inkjet, White",7
"Ikea Classic Bookcase, Metal",6
"Wilson Jones Binder Covers, Clear",7
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",7
"Belkin Numeric Keypad, USB",6
"Stockwell Push Pins, 12 Pack",7
"SanDisk Message Books, Recycled",6
"Sanford Pencil Sharpener, Fluorescent",6
"Enermax Note Cards, Premium",6
"Smead Lockers, Blue",10
"Sanford Canvas, Easy-Erase",9
Fellowes Stor/Drawer Steel Plus Storage Drawers,6
Plantronics S12 Corded Telephone Headset System,6
Global Highback Leather Tilter in Burgundy,6
"Apple Headset, with Caller ID",6
"Xerox Message Books, Premium",11
"Sanford Pens, Easy-Erase",12
"Eaton Computer Printout Paper, 8.5 x 11",12
"Cardinal Binder Covers, Recycled",8
Xerox 1923,7
"Advantus Staples, 12 Pack",6
"Hewlett Fax and Copier, Laser",11
"Binney & Smith Markers, Water Color",11
DAX Black Cherry Wood-Tone Poster Frame,6
"Stockwell Thumb Tacks, Bulk Pack",8
"Binney & Smith Pencil Sharpener, Water Color",14
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",10
"Chromcraft Conference Table, Fully Assembled",6
"Fellowes Lockers, Single Width",6
Apple iPhone 5C,7
"Avery Binder Covers, Recycled",8
Newell 351,7
"Rogers Lockers, Single Width",7
"Binney & Smith Highlighters, Blue",6
"Kraft Manila Envelope, with clear poly window",14
"Boston Pens, Water Color",8
Xerox 195,6
"Avery Round Labels, Alphabetical",6
"Stanley Canvas, Blue",9
"Panasonic Phone, Red",6
"Stanley Markers, Water Color",7
"Cardinal Binder, Clear",10
"SAFCO Executive Leather Armchair, Adjustable",6
"BIC Sketch Pad, Easy-Erase",7
"Elite Trimmer, Serrated",9
"Ibico Binder Covers, Durable",9
"Cardinal Binder, Economy",6
"Rubbermaid Stacking Tray, Erganomic",8
"Acco Binder Covers, Economy",13
"SAFCO Commercial Wire Shelving, 72h",8
"Okidata Calculator, Durable",7
Macally Suction Cup Mount,13
"Cameo Clasp Envelope, Security-Tint",13
"Wilson Jones Binder Covers, Economy",6
"SAFCO Bag Chairs, Adjustable",8
"Avery 3-Hole Punch, Clear",6
"Harbour Creations Removable Labels, 5000 Label Set",6
"Eaton Parchment Paper, 8.5 x 11",6
"Elite Ruler, Serrated",6
"Advantus Photo Frame, Erganomic",6
"Wilson Jones Hole Reinforcements, Clear",6
"Safco Stackable Bookrack, Pine",7
"Motorola Signal Booster, Cordless",8
"Hewlett Copy Machine, Color",6
Enermax Aurora Lite Keyboard,6
"Avery Color Coded Labels, 5000 Label Set",6
"Boston Pencil Sharpener, Easy-Erase",6
"Breville Blender, Black",10
"Avery Legal Exhibit Labels, Alphabetical",6
Maxell DVD-RAM Discs,7
"Stockwell Clamps, 12 Pack",6
"Smead Box, Blue",7
"Hamilton Beach Blender, Black",9
"Cardinal Binder Covers, Clear",7
"Deflect-O Stacking Tray, Durable",6
"Samsung Smart Phone, VoIP",11
"Cisco Headset, Full Size",8
"Novimex Bag Chairs, Black",7
"Fiskars Trimmer, Easy Grip",7
"Ames Peel and Seal, Set of 50",7
"Hewlett Ink, Digital",10
"Fiskars Box Cutter, Easy Grip",6
Hon 2111 Invitation Series Corner Table,6
"SanDisk Computer Printout Paper, Recycled",8
"Elite Scissors, Serrated",6
"Smead Lockers, Industrial",14
"Nokia Signal Booster, with Caller ID",9
"Brother Fax Machine, High-Speed",6
"Boston Markers, Blue",6
"SAFCO Executive Leather Armchair, Black",11
"Okidata Card Printer, Red",7
"Stanley Highlighters, Easy-Erase",6
"OIC Staples, Assorted Sizes",7
Staples,14
"Eldon File Cart, Industrial",7
"Green Bar Cards & Envelopes, 8.5 x 11",6
"GlobeWeis Peel and Seal, with clear poly window",6
"Novimex Round Labels, 5000 Label Set",6
"Avery Binding Machine, Durable",8
"Stockwell Clamps, Bulk Pack",6
"Belkin Keyboard, Erganomic",6
"Cisco Signal Booster, Full Size",6
"Acco Binding Machine, Recycled",6
"Samsung Audio Dock, Cordless",9
"SanDisk Computer Printout Paper, 8.5 x 11",10
"Stockwell Clamps, Assorted Sizes",6
"Safco 3-Shelf Cabinet, Mobile",6
"Advantus Frame, Black",6
"Epson Phone, Red",8
"Eldon Door Stop, Black",10
"Advantus Stacking Tray, Erganomic",7
"Logitech Router, Erganomic",6
"Hamilton Beach Toaster, Black",8
Novimex Swivel Fabric Task Chair,6
"Fellowes Lockers, Single Width",6
Harbour Creations Steel Folding Chair,6
"Tenex Clock, Black",7
"Kraft Peel and Seal, Security-Tint",9
DAX Black Cherry Wood-Tone Poster Frame,6
"Eldon Box, Single Width",6
"Binney & Smith Pens, Easy-Erase",12
"Wilson Jones Hole Reinforcements, Clear",6
"Ikea Corner Shelving, Traditional",7
"Ikea 3-Shelf Cabinet, Pine",6
"Acco Binder Covers, Durable",8
"StarTech Card Printer, White",10
"Harbour Creations Swivel Stool, Adjustable",6
"Sharp Fax Machine, Laser",7
Eldon Shelf Savers Cubes and Bins,8
"Ibico Binder, Durable",8
GBC Wire Binding Combs,6
"Logitech Memory Card, Erganomic",10
Office Star - Task Chair with Contemporary Loop Arms,6
"Rogers Lockers, Blue",6
"Harbour Creations Executive Leather Armchair, Red",9
"Apple Signal Booster, with Caller ID",7
"Hoover Toaster, Silver",11
