product_name,sales
"Tenex Lockers, Blue",408.0
"Okidata Inkjet, Wireless",314.0
"Hewlett Wireless Fax, Laser",912.0
"Novimex Swivel Stool, Set of Two",667.0
"Tenex Lockers, Industrial",338.0
"Dania Corner Shelving, Traditional",854.0
"Advantus Frame, Durable",324.0
Ibico Hi-Tech Manual Binding System,610.0
GE 30524EE4,392.0
"Panasonic Phone, Wireless",445.0
"Smead Lockers, Industrial",716.0
"Panasonic Card Printer, White",388.0
Wireless Extenders zBoost YX545 SOHO Signal Booster,756.0
"Ikea Classic Bookcase, Metal",987.0
"Smead Lockers, Single Width",397.0
"Ikea Library with Doors, Traditional",363.0
"Canon Ink, Laser",589.0
"Chromcraft Wood Table, Fully Assembled",968.0
"Hoover Microwave, Red",309.0
"Sharp Wireless Fax, Digital",425.0
"Dania Floating Shelf Set, Traditional",452.0
"Apple Audio Dock, VoIP",554.0
"Sharp Wireless Fax, Color",697.0
"Sanford Canvas, Easy-Erase",334.0
"Logitech Router, USB",495.0
"Hewlett Fax and Copier, Laser",385.0
"Ikea Stackable Bookrack, Traditional",552.0
"Epson Printer, White",522.0
"Smead Lockers, Blue",794.0
Fellowes Stor/Drawer Steel Plus Storage Drawers,573.0
Plantronics S12 Corded Telephone Headset System,647.0
"StarTech Card Printer, White",486.0
Global Highback Leather Tilter in Burgundy,546.0
"Apple Headset, with Caller ID",440.0
"O'Sullivan Elevations Bookcase, Cherry Finish",334.0
"Safco Floating Shelf Set, Traditional",393.0
"Hewlett Copy Machine, Laser",527.0
"Dania Library with Doors, Traditional",652.0
"Fellowes Lockers, Blue",746.0
"Binney & Smith Pencil Sharpener, Water Color",418.0
"Okidata Printer, Wireless",716.0
"Bush Classic Bookcase, Traditional",825.0
"Cuisinart Microwave, Silver",372.0
Apple iPhone 5C,700.0
"Cisco Signal Booster, with Caller ID",405.0
"Memorex Router, Programmable",495.0
"Rogers Lockers, Single Width",889.0
"Bush Classic Bookcase, Traditional",825.0
"Tenex File Cart, Blue",666.0
"Novimex Executive Leather Armchair, Red",920.0
"Breville Stove, Black",561.0
"Sharp Fax Machine, Laser",591.0
